id,description,command,args,expectedOut,expectedErr,expectedExit,timeout,pause
CIP-6141_Func_5.1,Verify memcached service starts / stops as expected - start,service,memcached start,Starting memcached:,,0,5,5000
CIP-6141_Func_5.2,Verify memcached service starts / stops as expected - status,service,memcached status,is running,,0,5,5000
CIP-6141_Func_5.3,Verify memcached service starts / stops as expected - stop,service,memcached stop,Stopping memcached:,,0,5,5000
CIP-6141_Func_5.4,Verify memcached service starts / stops as expected - status,service,memcached status,memcached is stopped,,3,5,5000
CIP-6141_Func_5.5,Verify memcached service starts / stops as expected - start,service,memcached start,Starting memcached:,,0,5,5000
CIP-6141_Func_5.6,Verify memcached service starts / stops as expected - status,service,memcached status,is running,,0,5,5000
